id,title,image,description,language,categories,website,author,itunes_id
30,Woodland Hills Church Sermons Video Podcast,http://is2.mzstatic.com/image/thumb/Music128/v4/c7/e9/7f/c7e97fe5-01dd-4588-26ad-5bcae1fb2ce9/source/600x600bb.jpg,"Get the most recent sermon audio and video from Woodland Hills Church. Located in St. Paul, MN, our goal as a church is to tear down walls between social classes, genders, races, and most of all, between people and Jesus Christ. Many other resources (including sermon study guides, presentation slides and our entire sermon archive dating back to 1992) are available for free on our web site. Most sermons are by our Senior Pastor, Greg Boyd.",English,Religion & Spirituality | Christianity,http://whchurch.org/podcasts/podcast-image-video.jpg,Woodland Hills Church Sermons Video Podcast,649382549
31,FBC Allen Podcast,http://is1.mzstatic.com/image/thumb/Music6/v4/b0/af/ba/b0afbaf9-b499-19ec-8c7a-28fe8a365f24/source/600x600bb.jpg,FBC Allen sermons,English,Religion & Spirituality | Christianity,http://www.fbcallen.org,FBC Allen Podcast,740981256
32,Gallifrey Stands,http://is3.mzstatic.com/image/thumb/Music71/v4/bc/42/bf/bc42bf70-5681-1758-3cfc-e5e1c7f73831/source/600x600bb.jpg,The podcast adventures in time and space of a life long Doctor Who fan and his dog Dottie Who.,English,TV & Film,http://GallifreyStandsPodcast.podbean.com,Doctor Squee,872044053
33,Chuck Knows Church,http://is3.mzstatic.com/image/thumb/Music111/v4/f1/8d/ee/f18dee66-25cb-8417-7a48-6b449758cfe5/source/600x600bb.jpg,"A fun, free and informative weekly series about the stuff in church.",English,Religion & Spirituality | Christianity,https://chuckknowschurch.com/,Chuck Knows Church,1203185932
34,You Have To Wear Something,http://is4.mzstatic.com/image/thumb/Music118/v4/fb/4d/4c/fb4d4c53-a117-bb50-82da-98d2690235fc/source/600x600bb.jpg,"Nicole Briggs educates, empowers and entertains culturally through fashion and style. ",English,Society & Culture,https://anchor.fm/youhavetowearsomething,Nicole Briggs / Anchor,1329786301
35,Joe Toste Podcast - Sales Training Expert,http://is1.mzstatic.com/image/thumb/Music122/v4/f3/d7/cf/f3d7cfd2-ac08-eaeb-f485-caf665d93910/source/600x600bb.jpg,Helping salespeople grow revenue faster with extreme prospecting.,English,Training | Education | Business | Management & Marketing,www.extremeprospecting.com,Joe Toste,1197963547
36,"Spare the Rock, Spoil the Child Playlists",http://is4.mzstatic.com/image/thumb/Music2/v4/c4/cf/5b/c4cf5b02-4843-7cad-34b1-14fc72ed79da/source/600x600bb.jpg,"Spare the Rock, Spoil the Child - music that kids will love and parents won't hate",English,Kids & Family,http://sparetherock.blogspot.com/,GP,163917658
37,He Loves Me Not,http://is2.mzstatic.com/image/thumb/Music62/v4/df/69/17/df691726-3653-71af-adb1-e95adcd4d3c3/source/600x600bb.jpg,Comedians Anna Gillcrist and Wilder Shaw take on the nightmarish hellscape that is the LA dating scene.,English,Comedy | Society & Culture,http://helovesmenot.libsyn.com/podcast,Wilder Shaw & Anna Gillcrist,1130502884
38,Law Talk,http://is4.mzstatic.com/image/thumb/Music128/v4/f4/60/79/f460791a-4ad5-6afa-245d-6a140b9addb6/source/600x600bb.jpg,Attorney John Matulis answers your legal questions on WTIC's Law Talk,English,News & Politics,http://hartford.cbslocal.com/show/law-talk/,Radio.com,809030176
39,Bayshore  Church,http://is2.mzstatic.com/image/thumb/Music71/v4/6c/68/eb/6c68ebe7-cadc-0a66-9892-08a72dbe6cda/source/600x600bb.jpg,A gathering of broken people to worship an awesome Saviour.,English,Religion & Spirituality | Christianity,http://www.visitbayshore.org,Bayshore  Church,1122330704
40,Supercultured: We like what we like.,http://is4.mzstatic.com/image/thumb/Music71/v4/7a/c1/67/7ac16704-0f3f-37bb-5e0b-29be1b6165f5/source/600x600bb.jpg,"A pop culture podcast hosted by David and Lauren Lanni.  Join us as we talk about movies, television, music, books, games, video games, and more.",English,TV & Film,http://supercultured.com,David Lanni & Lauren Lanni,1096405097
41,Danish and O'Neill,http://is3.mzstatic.com/image/thumb/Music6/v4/27/71/e4/2771e43f-ce1e-18ea-23f2-15cf816c31a5/source/600x600bb.jpg,"Danish and O'Neill bring you the most insane and moronic news from their lives and around the world, breaking it down in the smartest/stupidest way possible.",English,Comedy,http://soundcloud.com/danish-and-oneill,Danish and O'Neill,1021443504
42,Below the Belt Show,http://is3.mzstatic.com/image/thumb/Music128/v4/ca/5c/1a/ca5c1aa8-5399-4376-7923-e46d63494813/source/600x600bb.jpg,Podcast by Below the Belt Show,English,TV & Film,http://soundcloud.com/belowthebeltshow,Below the Belt Show,1265459704
43,simply nonsense,http://is3.mzstatic.com/image/thumb/Music118/v4/72/ec/68/72ec6813-f0de-22ae-461d-cb158691285c/source/600x600bb.jpg,"Meds and Em talk about current events, adulting and any other nonsense that pops up. Follow us on Twitter @MustBeTheMeds & @Emphoto21.
",English,Comedy,http://www.podcasts.com/meds-em-podcast-58909d94a,Brian Smith,1289087936
44,Tenstrike Community Church Podcast,http://is5.mzstatic.com/image/thumb/Music128/v4/d9/57/09/d9570948-8a94-7e1a-fc37-c598abf9f61c/source/600x600bb.jpg,"145 Dudrey St NW
Tenstrike, MN 56683
tstrikechurch@gmail.com
Tel: 218.586.2960
Service: Sunday 10:30 AM
""Every Believer a Minister""",English,Religion & Spirituality,http://soundcloud.com/tenstrikechurch,TenstrikeChurch,1331477860
45,Mere Fidelity,http://is5.mzstatic.com/image/thumb/Music4/v4/8a/b3/c2/8ab3c23d-e437-8659-fd3a-b96fd3fff09f/source/600x600bb.jpg,"We discuss the shape faithfulness to the Gospel should take in the twenty-first century. We talk a lot about theology, but may take up anything pertaining to politics, culture, or society as well. ",English,Religion & Spirituality | Christianity,http://soundcloud.com/mere-fidelity,Mere Fidelity,885758537
46,This Week in Law (Video HD),http://is1.mzstatic.com/image/thumb/Music128/v4/b9/bc/b6/b9bcb626-d184-b789-05eb-9e2c40d67549/source/600x600bb.jpg,"Join legal blogger (and trained attorney) Denise Howell along with J. Michael Keyes, Matt Curtis, and Emory Roane as they discuss breaking issues in technology law, including patents, copyrights, and more.

Records live Fridays at 2:00pm Eastern / 11:00am Pacific / 19:00 UTC.",English,Technology | Tech News | Government & Organizations | National | Regional | Local,https://twit.tv/shows/this-week-in-law,Leo Laporte,593356414
47,Music Marketing Podcast with Bob Baker,http://is4.mzstatic.com/image/thumb/Music71/v4/73/08/2f/73082f5a-f4c5-e2ae-bfbf-2119449f810d/source/600x600bb.jpg,"Bob Baker's Podcast of Music Marketing Ideas, Self-Promotion Tips and Inspiration for Songwriters, Musicians, Bands and Music Biz Pros",English,Arts | Music | Management & Marketing | Business,http://bob-baker.com/buzz,"Bob Baker, author of the ""Guerrilla Music Marketing"" series of books",94983256
48,Showreel,http://is4.mzstatic.com/image/thumb/Music62/v4/02/72/6a/02726ae0-3f64-f6f4-84ca-aab3732a35ad/source/600x600bb.jpg,"Your half hour of local film news, conversations with film makers and explorations into how they bring their ideas to life on screen. Showreel promises an exciting package of film information that will set your ears buzzing.",English,News & Politics | Arts | Music | Health,http://www.3cr.org.au/showreel,3CR Programming,992756264
49,St. Mark Lutheran Church Sermons,http://is4.mzstatic.com/image/thumb/Music/v4/4d/ab/09/4dab0929-83e8-46f7-b2a3-37dd2f8e12dd/source/600x600bb.jpg,"St. Mark Lutheran Church in East Toledo, Ohio.

Visit us on the web - www.stmarklutheranlive.org
Senior Pastor- Pastor Beth Giller",English,Christianity | Religion & Spirituality,http://www.sermonconnect.com/view.php?church=118356,Pastor Beth Giller,319408325
50,Boxcars - Warmachine and Hordes Podcast,http://is5.mzstatic.com/image/thumb/Music122/v4/b6/b8/cb/b6b8cbcb-af72-e37d-6208-974e7421c82f/source/600x600bb.jpg,Podcast by WarRoomPL,English,Games & Hobbies,http://soundcloud.com/marcin-nowicki-627463196,WarRoomPL,1188235166
51,Hwy Youth,http://is1.mzstatic.com/image/thumb/Music118/v4/50/55/05/505505a9-e22c-fc8e-0508-71619e53a15b/source/600x600bb.jpg,We exist to empower youth to move from passengers of their faith to drivers of their faith in Jesus Christ.,English,Religion & Spirituality,http://www.highwayyouth.com,"Jen, Maddi, Cam, & Sam",1292479644
52,Rave Tape Podcast,http://is3.mzstatic.com/image/thumb/Music117/v4/31/42/a4/3142a446-fa8f-27d1-1399-8d3a24196654/source/600x600bb.jpg,Rave Tapes from the 90s,English,Music,http://markbiggus.uk/web/podcasts/ravetape/,Dj EZC,947481656
53,6 Minute Grammar,http://is4.mzstatic.com/image/thumb/Music62/v4/55/a4/01/55a40138-3f8a-f45b-d235-70e07ffd999e/source/600x600bb.jpg,"Learn English grammar in six minutes. Every Tuesday join two of our presenters and learn a new key area of grammar.

Our presenters include Finn, Emma, Rob, Neil, Sophie & Alice.",English,Education,http://www.bbc.co.uk/programmes/p02pc9wq,BBC,1080974028
54,Faith Fellowship Church,http://is2.mzstatic.com/image/thumb/Music111/v4/18/39/2b/18392bbd-41d4-8cf7-1e97-bc2136908edb/source/600x600bb.jpg,Podcasts by Faith Fellowship Church,English,Religion & Spirituality | Christianity,http://www.marinelliministries.com,Faith Fellowship Church,1224389941
55,Song Exploder,http://is3.mzstatic.com/image/thumb/Music128/v4/9e/28/35/9e283594-80c0-8cd2-d160-3346796d2ea7/source/600x600bb.jpg,"
      Song Exploder is a podcast where musicians take apart their songs, and piece by piece, tell the story of how they were made. Each episode features an artist discussing a song of theirs, breaking down the sounds and ideas that went into the writing and recording. Hosted and produced by Hrishikesh Hirway.
    ",English,Design | Music | Arts,http://www.songexploder.net,Song Exploder (contact@songexploder.net),788236947
56,Wyatt Baptist Church Podcast,http://is1.mzstatic.com/image/thumb/Music71/v4/f5/08/8b/f5088b38-7087-804d-0f7e-1d80e6194efc/source/600x600bb.jpg,Sermons from Wyatt Baptist Church,English,Religion & Spirituality | Christianity,http://wyattpodcast.com,Wyatt Baptist Church,1144002832
57,Rick and Morty Minute Podcast,http://is3.mzstatic.com/image/thumb/Music128/v4/4f/20/f0/4f20f05a-4594-2de6-bcb6-c945e9259e63/source/600x600bb.jpg,"Josh Brown and Chris Marsh, chain-smoking and hard-drinking,  respectively; rapscallions, both; take each episode of Rick and Morty minute by minute, and see what great cosmic boon lies therein.",English,Comedy | TV & Film,http://rickandmortyminute.libsyn.com/website,Josh Brown,1320987507
58,Rag Against The Machine,http://is2.mzstatic.com/image/thumb/Music128/v4/10/df/0e/10df0ebe-fdef-ae1a-ba7a-f85cef57d504/source/600x600bb.jpg,"A podcast about periods, feminism and amazing women, with hosts Karen and Grainne. Listen in to find out who's leaking this week!",English,Comedy,https://ragagainstthemachine.podbean.com,Grainne Harnett,1294484949
59,"Nerd Noise Radio - Channel 1: ""Noise from the Hearts of Nerds"" (Lo-Fi)",http://is1.mzstatic.com/image/thumb/Music122/v4/99/00/d0/9900d08b-fdb2-8c05-a56a-a99ece48e12a/source/600x600bb.jpg,"Your home for the best Noise from the YM2612/SN76489, SPC700, 2A03, HuC6280, AY-3-8910, YM2151, LR35902, POKEY, PAULA, SID, and beyond!

Channel 1 is a simple music block style show, with a brief intro, an uninterrupted music block, and an outro with track listing and show info. Track listing is not provided at the beginning of the show, but are available in the show notes (with time stamps) for you to follow along by.

Channels 2 and 3 are planned with more channels yet always a possibility. Nerd Noise Radio is simply not a video game music PROGRAM, but is a video game NETWORK of programs. If you don't like the music block style of Channel 1, you may like the more in-depth treatments and conversation-heavy formats of Channels 2 and 3.",English,Games & Hobbies | Video Games | Music,http://nerdnoiseradio.blogspot.com,Nerd Noise Radio,1191400767
60,The Chris Moyles Show on Radio X Podcast,http://is2.mzstatic.com/image/thumb/Music71/v4/5e/a2/3e/5ea23e56-0c19-b34d-ec37-efe64dcf7811/source/600x600bb.jpg,"He's back, to save radio. You can hear The Chris Moyles Show on Radio X every morning from 6:30am to 10am on DAB Digital Radio across the UK, on 104.9FM in London, 97.7FM in Manchester, worldwide via the Radio X app or at www.radiox.co.uk",English,Comedy,http://www.radiox.co.uk/,Radio X,1042635536
61,Bay Area Community Church,http://is3.mzstatic.com/image/thumb/Music71/v4/42/4f/51/424f5110-ee75-26bb-f80b-4d2d7008ad90/source/600x600bb.jpg,"Weekly sermon audio podcasts from Bay Area Community Church in Annapolis, MD. Our mission is to make passionate, maturing followers of Jesus from here to the nations. Learn more at www.bayareacc.org.",English,Religion & Spirituality,www.bayareacc.org,Bay Area Community Church,1149070474
62,Aspects of Writing,http://is3.mzstatic.com/image/thumb/Music128/v4/94/f0/0b/94f00b86-5489-4b32-6131-ca67905c9ca2/source/600x600bb.jpg,"Every week ""Aspects of Writing"", Hosted by James Kelly, will bring you an informative look at every aspect of the writing industry. Guests on the show will share what inspired them to write. Together, we will explore the creative side of writing and how to format your work. We will discuss where to go for guidance regarding editing, printing and how to distribute your work. If you are a scriptwriter, we will examine what it takes to get your work into script format and expose your work to agents or producers.

Listeners of the show are encouraged to participate in the show by sending us your questions, or comments, via email, to be read on the air. We want your advice to share with others. We welcome your questions of how to proceed with your project. Regardless of whether you are a seasoned writer, or new to the writing industry and need guidance, or just someone with an idea and curious about what it takes to get started, we are here to help.

Have you ever had the desire to write, but don't know how to begin? It may be easier than you think. Do you have a finished work that may need editing, or you are unsure of what to do next? We will guide you on the path to getting it finished and ready for publication. Uncertain of where to go or whom to contact once your work is completed? Tune in and listen as we discuss the various aspects of what it takes to write, edit and publish your work. This show is designed to give the listener the necessary tools needed to accomplish your dreams as a writer, no matter what genre or level of writing you are trying to achieve. Whether publishing your memoir for friends and family, or dreaming of becoming an accomplished author, or simply want to fulfill your desire to write for television, movies, newspapers or magazines, tune in every Friday at 6:00 PM (PST) to AMFM247.com, and we will offer guidance that may help you to achieve your goal of becoming a writer.",English,Arts | Literature,https://www.spreaker.com/show/aspects-of-writing,AMFM247 Broadcasting Network,1294163077
63,International media,http://is2.mzstatic.com/image/thumb/Music71/v4/05/09/53/0509535d-ba76-ba8e-28c7-f12f38ae456c/source/600x600bb.jpg,A weekly look at the problems and pleasures facing journalists around the world and the power and responsibilities of news media.,English,News & Politics,http://en.rfi.fr/features/info/international-media,RFI,433130622
64,WEAREYX,http://is2.mzstatic.com/image/thumb/Music62/v4/a8/6f/a2/a86fa26f-126c-4a5c-bb02-c88b9b18a06d/source/600x600bb.jpg,WEAREYX,English,Society & Culture | Christianity | Religion & Spirituality,https://itunes.apple.com/us/podcast/weareyx,Pastor Jonathan Rivera,858118373
65,Kingdom Awakening with R. Loren Sandford,http://is4.mzstatic.com/image/thumb/Music117/v4/59/75/da/5975daeb-0604-bda3-e324-3605d8e96af0/source/600x600bb.jpg,"Preaching and teaching with a prophetic edge by a respected renewal leader, author and prophetic voice.",English,Philosophy | Christianity | Society & Culture | Spirituality | Religion & Spirituality,http://www.newsongchurchandministries.org,R. Loren Sandford,1249754733
66,TED Talks Daily,http://is4.mzstatic.com/image/thumb/Music128/v4/d5/c6/50/d5c65035-505e-b006-48e5-be3f0f8f19f8/source/600x600bb.jpg,"Want TED Talks on the go? Every weekday, this feed brings you our latest talks in audio format. Hear thought-provoking ideas on every subject imaginable -- from Artificial Intelligence to Zoology, and everything in between -- given by the world's leading thinkers and doers. This collection of talks, given at TED and TEDx conferences around the globe, is also available in video format.",English,Education | Society & Culture | News & Politics | Arts | Science & Medicine | Technology,https://www.ted.com/talks,TED,160904630
67,December 26er Podcast,http://is1.mzstatic.com/image/thumb/Music118/v4/c3/49/1c/c3491cff-d628-e14a-7bdb-dd08062e3585/source/600x600bb.jpg,Encouraging you to be extraordinary on an ordinary day.,English,Society & Culture,http://soundcloud.com/user-832379294-223527529,Be Extraordinary on an Ordinary Day,1329510133
68,Advent Lutheran Church,http://is1.mzstatic.com/image/thumb/Music19/v4/cb/8a/9a/cb8a9aea-19c4-8c41-782e-cf8ec1587c45/source/600x600bb.jpg,"Sermons and other media from Advent Lutheran Church in Zionsville, IN. ",English,Christianity | Religion & Spirituality,https://www.adventlutheran.org/,"Advent Evangelical Lutheran Church, LCMS, LLC.",1052432432
